date,ntl_mean,ntl_sum,ntl_n
2012-01-19,5.967540920453826,12418.45265546441,2081
2012-01-20,6.383602997937035,13284.27783870697,2081
2012-01-21,7.542245382717858,15695.412641435862,2081
2012-01-22,5.796826664428193,12063.19628867507,2081
2012-01-23,6.740417801878419,14026.80944570899,2081
2012-01-24,6.138235827454118,12773.66875693202,2081
2012-01-25,6.982657515117608,14530.910288959742,2081
2012-01-26,7.924411571452619,16490.7004801929,2081
2012-01-27,5.853395952471227,12180.916977092624,2081
2012-01-28,6.075471091199199,12643.055340785531,2081
2012-01-29,5.840169260954124,12153.392232045531,2081
2012-01-30,6.685303421367939,13912.11641986668,2081
2012-01-31,7.888142386504173,16415.224306315184,2081
2012-02-01,6.306858962005231,13124.573499932883,2081
2012-02-02,5.751669673636692,11969.224590837955,2081
2012-02-03,5.737817042926348,11940.397266329732,2081
2012-02-04,6.608323352934056,13751.92089745577,2081
2012-02-05,7.8277132863846575,16289.471348966472,2081
2012-02-06,7.208753669966533,15001.416387200356,2081
2012-02-07,6.309303568630353,13129.660726319766,2081
2012-02-08,6.986391952642629,14538.681653449312,2081
2012-02-09,6.015070603504081,12517.361925891992,2081
2012-02-10,6.519898952875539,13567.909720933996,2081
2012-02-12,6.192124069686254,12885.810189017096,2081
2012-02-13,5.2136210053158925,10849.545312062372,2081
2012-02-14,5.705040079107115,11872.188404621906,2081
2012-02-15,6.64938711671088,13837.37458987534,2081
2012-02-16,7.1792563044326,14940.03236952424,2081
2012-02-17,6.284749429130542,13078.56356202066,2081
2012-02-20,5.886667352221666,12250.154759973288,2081
2012-02-21,6.938944050015551,14439.942568082362,2081
2012-02-22,6.349816593540683,13213.96833115816,2081
2012-02-23,6.1865752901361,12874.263178773224,2081
2012-02-24,6.995391017478541,14557.408707372844,2081
2012-02-25,5.509747861283493,11465.78529933095,2081
2012-02-26,7.344060183666979,15282.989242210984,2081
2012-02-27,7.21904857752416,15022.840089827776,2081
2012-02-28,5.507849746684023,11461.835322849452,2081
2012-02-29,5.100050291867281,10613.204657375813,2081
2012-03-01,6.930714254172188,14422.816362932324,2081
2012-03-03,6.9048800080986,14369.055296853185,2081
2012-03-04,5.987965277797358,12460.955743096303,2081
2012-03-05,5.856940768233732,12188.293738694396,2081
2012-03-06,5.807379259651814,12085.156239335423,2081
2012-03-07,6.0097642380311,12506.31937934272,2081
2012-03-08,6.078113580503108,12648.554361026969,2081
2012-03-09,6.882387527378777,14322.248444475234,2081
2012-03-12,6.872560987522909,14301.799415035171,2081
2012-03-13,6.679148392262656,13899.307804298587,2081
2012-03-14,6.094432212544828,12682.513434305789,2081
2012-03-15,5.881879719725198,12240.191696748136,2081
2012-03-16,5.692573943959011,11846.246377378702,2081
2012-03-17,6.435012180492432,13391.260347604752,2081
2012-03-18,6.895816031655459,14350.19316187501,2081
2012-03-19,6.72712259810169,13999.142126649618,2081
2012-03-20,6.915782171894529,14391.742699712517,2081
2012-03-21,6.837805014298777,14229.472234755754,2081
2012-03-22,4.946757112469942,10294.201551049948,2081
2012-03-23,5.649942991167579,11757.531364619732,2081
2012-03-27,5.06348300406934,10537.108131468296,2081
2012-03-29,5.830686769767314,12133.65916788578,2081
2012-03-30,6.926570959528841,14414.194166779518,2081
2012-03-31,6.347288219216121,13208.706784188747,2081
2012-04-01,5.27980292881698,10987.269894868135,2081
2012-04-02,6.824987629953913,14202.799257934092,2081
2012-04-03,6.689002456500632,13919.814111977816,2081
2012-04-04,5.518499057611082,11483.996538888665,2081
2012-04-05,6.819044736635114,14190.432096937671,2081
2012-04-08,5.558901313937973,11568.07363430492,2081
2012-04-09,7.403989481836144,15407.702111701015,2081
2012-04-10,6.304756058579609,13120.197357904166,2081
2012-04-11,6.673058193965543,13886.634101642296,2081
2012-04-12,5.9064036002566125,12291.22589213401,2081
2012-04-13,5.632832420181621,11721.924266397951,2081
2012-04-14,7.073773415643742,14720.522477954626,2081
2012-04-15,6.8263269247113945,14205.586330324411,2081
